from_domain_char_count,body_word_count,subject_word_count,longest_sentence_length,has_quoted_reply,has_email_closing,link_count,capital_letter_count,capital_letter_ratio,subject_caps_ratio,punctuation_count,punctuation_ratio,question_mark_count,number_count,number_ratio,finance_symbol_count,emoji_count,emoji_ratio,has_important,feedback_words,day_of_week,time_of_day,letter_count,whitespace_ratio,label
15,4128,4,533,1,0,32,494,0.0305,0.1,5629,0.1949,13,1835,0.1133,10,2,0.0001,1,1,0,0,16223,0.3205,1
19,1111,6,79,1,0,10,252,0.0537,0.037,1301,0.1854,9,501,0.1073,0,1,0.0001,1,1,1,0,4697,0.1154,1
21,10225,5,306,1,0,56,1820,0.0414,0.0625,16663,0.1884,47,4221,0.0961,18,0,0.0,1,0,2,1,43941,0.5385,1
19,752,2,63,1,0,7,146,0.0441,0.0769,925,0.1917,4,230,0.0698,0,1,0.0002,1,1,2,2,3309,0.1132,1
19,854,2,79,1,0,7,172,0.047,0.0769,1005,0.1842,7,379,0.1039,0,1,0.0002,1,1,3,0,3660,0.1154,1
19,1084,7,79,1,0,10,234,0.0496,0.0278,1305,0.187,9,479,0.1023,0,1,0.0001,1,1,1,1,4717,0.1098,1
21,8422,5,308,1,0,63,1060,0.0289,0.0476,13489,0.1831,48,4866,0.1328,33,1,0.0,1,0,4,0,36667,0.5089,1
15,4354,4,533,1,0,39,628,0.0365,0.1,6044,0.1949,15,1959,0.1139,16,2,0.0001,1,1,3,1,17212,0.3366,1
19,825,2,79,1,0,7,168,0.0467,0.0769,1007,0.188,7,373,0.1042,0,1,0.0002,1,1,2,0,3594,0.1097,1
12,1467,3,103,1,0,10,492,0.081,0.0455,2343,0.1942,2,731,0.1207,0,0,0.0,0,0,4,0,6077,0.4851,1
16,4064,8,309,1,0,24,6574,0.2326,0.1091,5622,0.1173,15,3450,0.1223,0,1,0.0,1,1,1,3,28265,0.371,1
10,22095,7,472,1,1,144,2301,0.0231,0.0,32073,0.2097,115,12051,0.121,0,42,0.0003,1,1,5,0,99583,0.0924,1
8,824,2,64,1,1,8,312,0.0861,0.0667,1210,0.1798,1,452,0.1253,0,0,0.0,1,1,0,0,3622,0.4042,1
